date,ph
04/15/2016 00:51:34,8.1959
04/15/2016 00:56:35,8.1952
04/15/2016 01:01:37,8.1941
04/15/2016 01:06:38,8.1947
04/15/2016 01:11:39,8.1963
04/15/2016 01:16:40,8.1981
04/15/2016 01:21:41,8.1993
04/15/2016 01:26:42,8.1928
04/15/2016 01:31:43,8.1946
04/15/2016 01:36:44,8.1932
04/15/2016 01:41:45,8.194
04/15/2016 01:46:46,8.1937
04/15/2016 01:51:47,8.19
04/15/2016 01:56:48,8.1885
04/15/2016 02:01:49,8.1835
04/15/2016 02:06:50,8.1843
04/15/2016 02:11:51,8.1832
04/15/2016 02:16:52,8.1832
04/15/2016 02:21:53,8.1761
04/15/2016 02:26:54,8.1722
04/15/2016 02:31:55,8.1719
04/15/2016 02:36:56,8.1738
04/15/2016 02:41:57,8.1711
04/15/2016 02:46:58,8.1694
04/15/2016 02:51:59,8.1642
04/15/2016 02:57:00,8.1625
04/15/2016 03:07:02,8.1577
04/15/2016 03:12:03,8.1581
04/15/2016 03:17:04,8.1565
04/15/2016 03:22:05,8.1526
04/15/2016 03:27:06,8.1486
04/15/2016 03:32:07,8.146
04/15/2016 03:37:08,8.1477
04/15/2016 03:42:09,8.1444
04/15/2016 03:47:10,8.1415
04/15/2016 03:52:11,8.1382
04/15/2016 03:57:12,8.1354
04/15/2016 04:02:13,8.1318
04/15/2016 04:07:14,8.1321
04/15/2016 04:12:15,8.1288
04/15/2016 04:17:16,8.1263
04/15/2016 04:22:17,8.1209
04/15/2016 04:27:18,8.1186
04/15/2016 04:32:19,8.1142
04/15/2016 04:37:20,8.1156
04/15/2016 04:42:21,8.1102
04/15/2016 04:47:22,8.1081
04/15/2016 04:52:23,8.1038
04/15/2016 04:57:24,8.1019
04/15/2016 05:02:25,8.0976
04/15/2016 05:07:26,8.0955
04/15/2016 05:12:27,8.0901
04/15/2016 05:17:28,8.0866
04/15/2016 05:22:29,8.0822
04/15/2016 05:27:30,8.0799
04/15/2016 05:32:31,8.0752
04/15/2016 05:37:32,8.074
04/15/2016 05:42:34,8.0706
04/15/2016 05:47:35,8.069
04/15/2016 05:52:36,8.0651
04/15/2016 05:57:37,8.0609
04/15/2016 06:02:38,8.0576
04/15/2016 06:07:39,8.0569
04/15/2016 06:12:40,8.0531
04/15/2016 06:17:41,8.0504
04/15/2016 06:22:42,8.0439
04/15/2016 06:27:43,8.0407
04/15/2016 06:32:44,8.0357
04/15/2016 06:37:45,8.0372
04/15/2016 06:42:46,8.033
04/15/2016 06:47:47,8.0328
04/15/2016 06:52:48,8.0249
04/15/2016 06:57:49,8.0243
04/15/2016 07:02:50,8.022
04/15/2016 07:07:51,8.0207
04/15/2016 07:12:52,8.0174
04/15/2016 07:17:53,8.0142
04/15/2016 07:22:54,8.0099
04/15/2016 07:27:55,8.0102
04/15/2016 07:32:56,8.0054
04/15/2016 07:37:57,8.0056
04/15/2016 07:42:58,8.0043
04/15/2016 07:47:59,7.9998
